system:index,AOI,Area_2016,Area_2019,Area_2022,Area_2025,NDVI_2016,NDVI_2019,NDVI_2022,NDVI_2025,.geo
0,AOI_001,5.759467942047119,6.979842123413086,7.673435006713867,7.998287034606934,0.3393511476176905,0.4749981112450174,0.46566332648220543,0.4558157988227945,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,AOI_002,36.14701069641113,41.87852980708403,42.130430476253736,41.052447818998445,0.33963198467104383,0.46786771514396464,0.47699690798391603,0.4591673702151507,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,AOI_003,11.024157438659667,15.30424107119691,16.610900995145307,16.36935981905768,0.30258513271096216,0.4177882145124253,0.4383178072547374,0.4302881771400874,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,AOI_004,0.44812207260131837,1.941900220489502,4.57702689795999,4.560392148590088,0.3314281585169773,0.2919139986124513,0.27239128197005813,0.2850221203701115,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,AOI_005,0.5643520393371582,0.8817992897033692,3.391482890382654,1.0669760459899902,0.2694400807376951,0.31124279499053953,0.2510218050976846,0.3175834283109539,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,AOI_006,7.287472547912597,14.733671007537842,14.513101945495606,14.257250763702393,0.29949866817952936,0.38484452635406735,0.39331076419643357,0.3618417691144318,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,AOI_007,0.4510064338684082,0.8666422561645508,0.9550756637573242,0.8843288208007812,0.3035857423263438,0.33036212668735154,0.3361685808610033,0.3244976775348187,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,AOI_008,34.54731623535156,37.92233602142334,37.63000023651123,37.53258146591187,0.3846252969824351,0.527065340014463,0.5067719201506475,0.49472719146405186,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,AOI_009,50.391167708587645,63.63389915771484,64.63912176361085,64.66743875610351,0.3376611857459691,0.45982461988217843,0.47156953741322194,0.4290788074982675,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,AOI_010,2.030181468200684,3.2945918464660644,3.793226342010498,4.318571378326416,0.29754831151742683,0.4145650496353974,0.41368263921407467,0.4078369864176229,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,AOI_011,5.950183863830566,7.636215793609619,7.457803810882568,7.68974593963623,0.34157619575063686,0.46714308868362525,0.4771658787637521,0.442851561007118,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,AOI_012,2.9301087341308594,4.265244262695313,4.7760007888793945,4.883528402709961,0.3289829467505855,0.43625171463780044,0.4739859966634586,0.4378781489549427,"{""type"":""MultiPoint"",""coordinates"":[]}"
